,TB96805000,Month
0,-49.75205125232732,2016-01-01
1,-4.587958933730755,2016-02-01
2,-4.280424552828743,2016-03-01
3,4.59288285859675,2016-04-01
4,10.87816236248728,2016-05-01
5,25.14669404263707,2016-06-01
6,47.51351550349012,2016-07-01
7,111.53524469829973,2016-08-01
8,36.82716678936673,2016-09-01
9,20.761812279216738,2016-10-01
10,-0.2519301057563353,2016-11-01
11,114.31071428834488,2016-12-01
12,28.29213793999852,2017-01-01
13,74.00231969210226,2017-02-01
14,78.26874092574266,2017-03-01
15,106.92642561822248,2017-04-01
16,134.82164697549752,2017-05-01
17,104.88339497403918,2017-06-01
18,249.22821505594308,2017-07-01
19,390.9367264397614,2017-08-01
20,87.46352664852056,2017-09-01
21,53.96306269164149,2017-10-01
22,80.43610638106186,2017-11-01
23,150.0486036987985,2017-12-01
24,187.47567290454808,2018-01-01
25,131.22462151083158,2018-02-01
26,111.25714471467653,2018-03-01
27,210.32166027768184,2018-04-01
28,326.15647516409666,2018-05-01
29,120.17382838229102,2018-06-01
30,513.000217321127,2018-07-01
31,647.1337146654975,2018-08-01
32,99.21454908341072,2018-09-01
33,82.93840616626849,2018-10-01
34,259.1201735495054,2018-11-01
35,41.103215540260145,2018-12-01
36,485.58695881909193,2019-01-01
37,157.2313165357336,2019-02-01
38,95.49874361277911,2019-03-01
39,317.1008842527305,2019-04-01
40,584.0732586914833,2019-05-01
41,70.83902724690223,2019-06-01
42,838.7592272513242,2019-07-01
43,878.1224164136504,2019-08-01
44,72.6426032560642,2019-09-01
45,110.03192488656171,2019-10-01
46,534.0253871273734,2019-11-01
47,-211.57423780023987,2019-12-01
48,923.8077188612924,2020-01-01
49,148.9329033195004,2020-02-01
50,422.24620459065744,2020-03-01
51,415.3038478480238,2020-04-01
52,353.8582977327767,2020-05-01
53,500.19624875647787,2020-06-01
54,694.2312190971505,2020-07-01
55,1289.4715686756388,2020-08-01
56,354.5622330210306,2020-09-01
57,172.9309251151779,2020-10-01
58,-1.8498900914571605,2020-11-01
59,755.816930741159,2020-12-01
60,170.1718176049611,2021-01-01
61,409.41962367519653,2021-02-01
62,404.6707333689479,2021-03-01
63,516.5894180807777,2021-04-01
64,613.6861330690004,2021-05-01
65,451.30453564195767,2021-06-01
66,1020.1250914323773,2021-07-01
67,1525.6830496959064,2021-08-01
68,326.60947166235735,2021-09-01
69,193.66726058886655,2021-10-01
70,277.8327035159702,2021-11-01
71,500.61430815497835,2021-12-01
72,604.7961794564104,2022-01-01
73,410.15601270694157,2022-02-01
74,338.4889356605799,2022-03-01
75,622.0407359968831,2022-04-01
76,939.9577203640018,2022-05-01
77,337.6477426639954,2022-06-01
78,1408.0959356220858,2022-07-01
79,1735.9585423666567,2022-08-01
80,260.3923695211465,2022-09-01
81,213.32559192149583,2022-10-01
82,653.3324075288878,2022-11-01
83,101.74127197323241,2022-12-01
84,1180.2119052274156,2023-01-01
85,375.52269776152934,2023-02-01
86,224.64765353558374,2023-03-01
87,733.9740822189857,2023-04-01
88,1331.7359027341397,2023-05-01
89,159.12106222530647,2023-06-01
90,1857.968305908772,2023-07-01
91,1918.3430285346026,2023-08-01
92,156.5848662089088,2023-09-01
93,234.23245155350142,2023-10-01
94,1122.716726814165,2023-11-01
95,-439.6439064977156,2023-12-01
