Month,Prophet
2016-01-01,-50
2016-02-01,-5
2016-03-01,-4
2016-04-01,5
2016-05-01,11
2016-06-01,25
2016-07-01,48
2016-08-01,112
2016-09-01,37
2016-10-01,21
2016-11-01,0
2016-12-01,114
2017-01-01,28
2017-02-01,74
2017-03-01,78
2017-04-01,107
2017-05-01,135
2017-06-01,105
2017-07-01,249
2017-08-01,391
2017-09-01,87
2017-10-01,54
2017-11-01,80
2017-12-01,150
2018-01-01,187
2018-02-01,131
2018-03-01,111
2018-04-01,210
2018-05-01,326
2018-06-01,120
2018-07-01,513
2018-08-01,647
2018-09-01,99
2018-10-01,83
2018-11-01,259
2018-12-01,41
2019-01-01,486
2019-02-01,157
2019-03-01,95
2019-04-01,317
2019-05-01,584
2019-06-01,71
2019-07-01,839
2019-08-01,878
2019-09-01,73
2019-10-01,110
2019-11-01,534
2019-12-01,-212
2020-01-01,924
2020-02-01,149
2020-03-01,422
2020-04-01,415
2020-05-01,354
2020-06-01,500
2020-07-01,694
2020-08-01,1289
2020-09-01,355
2020-10-01,173
2020-11-01,-2
2020-12-01,756
2021-01-01,170
2021-02-01,409
2021-03-01,405
2021-04-01,517
2021-05-01,614
2021-06-01,451
2021-07-01,1020
2021-08-01,1526
2021-09-01,327
2021-10-01,194
2021-11-01,278
2021-12-01,501
2022-01-01,605
2022-02-01,410
2022-03-01,338
2022-04-01,622
2022-05-01,940
2022-06-01,338
2022-07-01,1408
2022-08-01,1736
2022-09-01,260
2022-10-01,213
2022-11-01,653
2022-12-01,102
2023-01-01,1180
2023-02-01,376
2023-03-01,225
2023-04-01,734
2023-05-01,1332
2023-06-01,159
2023-07-01,1858
2023-08-01,1918
2023-09-01,157
2023-10-01,234
2023-11-01,1123
2023-12-01,-440
