Month,2015,2016,2017,2018,2019,2020,2021
01,7033,5910,6349,12896,9199,11519,27922.0
02,10889,4379,8625,12168,14199,12394,35276.0
03,12035,9826,9919,19219,15306,8156,14860.0
04,11476,8848,13838,21474,7709,12339,17904.0
05,17951,13763,15824,19552,33378,29773,31690.0
06,11066,15669,12179,21651,12894,69930,28994.0
07,15160,10593,14596,22923,19419,31108,25092.0
08,12611,14253,24757,7888,10685,35025,26621.0
09,13517,19745,20615,10848,12128,41086,10798.0
10,13919,14311,13531,15516,14318,16750,13489.0
11,8467,6826,14434,5742,14457,22962,
12,11532,27943,5704,5818,4877,24308,
