Application,2015,2016,2017,2018,2019,2020,2021
BMX,14526.0,10365.0,8591,6116,4856,7523,6566
CYCLOCROSS,1058.0,639.0,1605,1298,1336,893,711
DIRT ROAD/GRAVEL,158.0,1257.0,2269,2546,5904,17922,17663
DOWNHILL,9902.0,6792.0,6003,9879,7553,13209,8014
E BIKE,,,38,47,227,57,28
FAT BIKE/PLUS TIRES,4051.0,9196.0,11484,8634,6720,13287,6127
HYBRID,3420.0,5142.0,4420,4441,1851,974,1735
MODIFIED TRIALS,183.0,193.0,177,134,213,277,310
MOUNTAIN,95255.0,103177.0,114649,127527,122379,238279,169624
ROAD,9599.0,8930.0,3811,3873,4479,6622,3942
URBAN,7504.0,6375.0,7324,11200,13051,16307,17926
